Var1,Var2,obs,exp,n,pmr
I119,M819,147,3.45,197,42.608695652173914
I250,M819,130,3.13,179,41.533546325878596
F03,M898,44,1.42,79,30.985915492957748
I131,I250,82,2.68,183,30.597014925373134
I119,I250,1927,63.15,4353,30.51464766429137
T519,X45,86,2.96,297,29.054054054054056
I120,R263,32,1.11,67,28.828828828828826
F102,I250,34,1.18,113,28.8135593220339
I250,I38,50,1.9000000000000001,121,26.31578947368421
I110,I250,66,2.55,167,25.88235294117647
G20,I119,85,3.35,213,25.37313432835821
F03,I250,500,20.55,1168,24.330900243309003
F03,I119,623,25.9,1481,24.054054054054056
G20,I250,63,2.69,170,23.42007434944238
E149,I250,518,22.43,1627,23.094070441373162
G309,R263,26,1.17,69,22.222222222222225
I119,R54,108,5.54,298,19.494584837545126
G309,I250,97,4.98,292,19.477911646586342
G309,I119,117,6.02,358,19.435215946843854
I250,R54,114,5.99,323,19.031719532554256
F03,R263,98,5.16,308,18.992248062015502
I119,I38,72,3.83,244,18.79895561357702
I48,R263,57,3.04,179,18.75
I10,M898,45,2.45,149,18.36734693877551
I250,J449,409,22.47,1585,18.202047174009792
I119,R688,22,1.23,80,17.88617886178862
E149,R263,25,1.4000000000000001,102,17.857142857142854
C349,I119,28,1.6,122,17.5
E785,R263,21,1.21,75,17.355371900826448
C349,I250,23,1.34,101,17.16417910447761
G309,M819,68,4.01,219,16.957605985037407
J449,R263,34,2.0300000000000002,133,16.748768472906402
I250,K746,23,1.4,120,16.42857142857143
F03,M819,243,15.06,836,16.135458167330675
E149,R55,20,1.24,83,16.129032258064516
I119,R53,36,2.26,129,15.92920353982301
I119,I48,330,20.77,1294,15.888300433317285
I250,I48,318,20.34,1245,15.634218289085545
T510,X45,45,2.96,321,15.202702702702704
E669,I250,48,3.18,284,15.094339622641508
E149,M819,47,3.1199999999999997,190,15.064102564102566
I500,R263,41,2.81,171,14.590747330960854
I250,J439,36,2.48,196,14.516129032258064
I10,Y834,21,1.48,100,14.18918918918919
I119,I802,17,1.2,89,14.166666666666668
I251,R263,28,1.98,126,14.141414141414142
R529,R53,16,1.1400000000000001,63,14.035087719298245
J449,M819,114,8.14,499,14.004914004914005
I119,K746,28,2,179,14
T68,X31,68,4.86,341,13.991769547325102
J958,Y834,17,1.22,72,13.934426229508198
I251,R55,31,2.23,136,13.90134529147982
I119,J449,438,32,2400,13.6875
T818,Y834,29,2.17,144,13.36405529953917
F03,R268,33,2.5,142,13.2
I119,I350,32,2.48,149,12.903225806451614
I250,I350,33,2.5700000000000003,148,12.840466926070038
I251,Y834,15,1.17,81,12.820512820512821
G20,M819,21,1.6400000000000001,100,12.804878048780488
J449,R55,17,1.37,92,12.40875912408759
E149,I119,606,50.01,3916,12.11757648470306
I48,R268,22,1.82,101,12.087912087912088
F102,T519,13,1.08,113,12.037037037037036
I250,I269,23,1.95,149,11.794871794871796
M819,R54,43,3.69,193,11.653116531165312
I10,R263,71,6.1,386,11.639344262295083
I250,R53,27,2.34,134,11.538461538461538
I119,M199,16,1.4000000000000001,85,11.428571428571427
I251,R268,13,1.1500000000000001,64,11.304347826086955
I250,R64,14,1.24,77,11.290322580645162
I250,J189,50,4.46,279,11.210762331838565
I48,R55,38,3.54,210,10.734463276836157
F03,I131,24,2.25,132,10.666666666666666
E785,R55,12,1.14,74,10.526315789473685
I64,R263,16,1.54,102,10.38961038961039
I119,I269,28,2.71,215,10.33210332103321
I250,J841,11,1.09,70,10.091743119266054
I38,R54,12,1.1900000000000002,64,10.084033613445376
I250,R688,20,1.99,134,10.050251256281408
D649,I119,21,2.09,132,10.047846889952154
E668,I250,10,1.01,99,9.900990099009901
F102,I119,38,3.85,372,9.87012987012987
E142,I250,18,1.83,134,9.836065573770492
E46,I119,10,1.03,65,9.70873786407767
I48,Y834,10,1.03,67,9.70873786407767
G935,I251,14,1.46,108,9.589041095890412
I119,I251,134,13.98,951,9.585121602288984
F03,R55,18,1.88,106,9.574468085106384
I250,I272,11,1.15,77,9.56521739130435
I269,M819,10,1.05,65,9.523809523809524
I10,J958,11,1.17,69,9.401709401709402
I119,I639,18,1.92,140,9.375
E039,I119,21,2.25,144,9.333333333333334
I10,R42,11,1.18,68,9.322033898305085
I119,I516,11,1.18,77,9.322033898305085
M819,N189,22,2.39,132,9.205020920502092
I119,J440,13,1.4200000000000002,103,9.154929577464788
