Description (ICD10),Obs,Exp,PMR (95%),PAR
Hypertensive Diseases (I10-I15),3906,2256.38,"1.73 (1.67, 1.79)",10.02
Hypertensive heart disease (I11),1727,212.29,"8.14 (7.75, 8.53)",10.12
Hypertensive heart and chronic kidney disease (I13),83,22.89,"3.63 (2.85, 4.41)",0.40
Chronic ischemic heart disease (I25),3257,1533.64,"2.12 (2.04, 2.2)",10.43
"Dementia, unspecified (F03)",1699,657.46,"2.58 (2.46, 2.7)",5.79
"Diabetes mellitus, unspecified (E14)",1326,666.16,"1.99 (1.89, 2.09)",4.57
"Alcohol related disorders, diseases, or exposure (F10, X45, T51, K70)",565,110.54,"5.11 (4.69, 5.53)",3.96
Alcohol related disorders (F10),312,69.86,"4.47 (3.98, 4.96)",2.11
Accidental poisoning by and explosure to alcohol (X45),100,4.54,"22.03 (17.72, 26.34)",0.96
Toxic effect of alcohol (T51),101,14.27,"7.08 (5.71, 8.45)",0.82
Alcoholic liver disease (K70),52,21.82,"2.38 (1.73, 3.03)",0.28
Chronic Lower Respiratory Diseases (J40-J47),1234,1003.49,"1.23 (1.15, 1.31)",1.61
Other chronic obstructive pulmonary disease (J44),1130,915.42,"1.23 (1.15, 1.31)",1.47
Emphysema (J43),87,54.25,"1.6 (1.27, 1.93)",0.24
Other Degenerative Diseases Of The Nervous System (G30-G32),461,204.75,"2.25 (2.05, 2.45)",1.50
Alzheimer's disease (G30),389,165.87,"2.35 (2.11, 2.59)",1.28
"Other degenerative diseases of nervous system, NEC (G31)",72,38.43,"1.87 (1.44, 2.3)",0.22
Osteoporosis without current pathological fracture (M81),98,11.9,"8.24 (6.61, 9.87)",0.50
Age-related physical debility (R54),295,121.77,"2.42 (2.15, 2.69)",0.92
Parkinson's disease (G20),415,142.24,"2.92 (2.65, 3.19)",1.72
Symptoms And Signs Involving The Nervous And Musculoskeletal Systems (R25-R29),207,30.07,"6.88 (5.94, 7.82)",1.12
Abnormalities of gait and mobility (R26),188,19.43,"9.68 (8.29, 11.07)",1.06
"Other Forms of Heart Disease (I35, I38, I51)",482,336.65,"1.43 (1.30, 1.56)",1.00
Complications and ill-defined descriptions of heart disease (I51),237,152.47,"1.55 (1.35, 1.75)",0.58
"Endocarditis, valve unspecified (I38)",98,37.2,"2.63 (2.1, 3.16)",0.39
Nonrheumatic aortic valve disorders (I35),147,146.98,"1 (0.84, 1.16)",0.00
Pulmonary embolism (I26),175,112.1,"1.56 (1.32, 1.8)",0.47
Certain Early Complications Of Trauma (T79),107,10.83,"9.88 (8, 11.76)",0.66
Surgical operations & other surgical procedures as cause of abnormal reaction (Y83),120,66.95,"1.79 (1.48, 2.1)",0.40
Syncope and collapse (R55),103,11.77,"8.75 (7.06, 10.44)",0.60
Other disorders of brain (G93),261,171.52,"1.52 (1.34, 1.7)",0.67
"Coagulation Defects, Purpura And Other Hemorrhagic Conditions (D65-D69)",145,69.52,"2.09 (1.76, 2.42)",0.56
Other coagulation defects (D68),64,22.46,"2.85 (2.14, 3.56)",0.31
Purpura and other hemorrhagic conditions (D69),71,38.11,"1.86 (1.43, 2.29)",0.24
Overweight and obesity (E66),102,80,"1.27 (1.02, 1.52)",0.19
Malignant neoplasm of bronchus and lung (C34),98,67.25,"1.46 (1.17, 1.75)",0.23
Other disorders of bone (M89),33,27.99,"1.18 (0.77, 1.59)",0.03
"Symptoms And Signs Involving Cognition, Perception, Emotional State And Behavior (R40-R46)",84,47.66,"1.76 (1.39, 2.13)",0.23
Dizziness and giddiness (R42),25,1.39,"17.99 (10.93, 25.05)",0.15
Exposure to excessive natural cold (X31),32,3.21,"9.97 (6.52, 13.42)",0.21
"Malignant Neoplasms of Lymphoid, Hematopoietic And Related Tissue (C81-C96)",170,145.64,"1.17 (0.99, 1.35)",0.17
Multiple myeloma and malignant plasma cell neoplasms (C90),31,16.96,"1.83 (1.18, 2.48)",0.12
Myeloid leukemia (C92),30,10.17,"2.95 (1.89, 4.01)",0.17
Leukemia of unspecified cell type (C95),28,8.08,"3.47 (2.2, 4.74)",0.14
Spinal muscular atrophy and related syndromes (G12),25,4,"6.25 (3.8, 8.7)",0.16
Intraoperative And Postprocedural Complications And Disorders Of Respiratory System (J95),16,8.16,"1.96 (1, 2.92)",0.08
"Pain, not elsewhere classified (R52)",19,11.55,"1.65 (0.91, 2.39)",0.08
Malignant neoplasm of liver and intrahepatic bile ducts (C22),30,14.22,"2.11 (1.35, 2.87)",0.13
