Obs,Exp,PMR (95%),PAR
4946,2804.78,"1.76 (1.7, 1.82)",11.07
2001,184.68,"10.83 (10.36, 11.3)",10.16
100,19.43,"5.15 (4.15, 6.15)",0.50
2583,1047.75,"2.47 (2.37, 2.57)",8.54
2939,976.38,"3.01 (2.89, 3.13)",9.47
1182,564.64,"2.09 (1.97, 2.21)",3.91
170,32.46,"5.24 (4.45, 6.03)",1.30
92,18.59,"4.95 (3.93, 5.97)",0.63
30,1.35,"22.22 (14.26, 30.18)",0.31
31,8.64,"3.59 (2.34, 4.84)",0.21
17,3.88,"4.38 (2.3, 6.46)",0.18
1388,890.89,"1.56 (1.48, 1.64)",3.17
1271,793.29,"1.6 (1.52, 1.68)",3.04
57,35.19,"1.62 (1.21, 2.03)",0.15
841,322.2,"2.61 (2.43, 2.79)",2.69
773,282.62,"2.74 (2.54, 2.94)",2.53
68,39.19,"1.74 (1.33, 2.15)",0.16
683,88.81,"7.69 (7.12, 8.26)",3.06
570,236.46,"2.41 (2.21, 2.61)",1.61
222,87.53,"2.54 (2.21, 2.87)",0.79
270,43.07,"6.27 (5.53, 7.01)",1.3
250,30.27,"8.26 (7.24, 9.28)",1.24
552,321.1,"1.72 (1.58, 1.86)",1.32
218,142.77,"1.53 (1.33, 1.73)",0.45
123,38.63,"3.18 (2.61, 3.75)",0.50
211,139.7,"1.51 (1.31, 1.71)",0.39
286,129.22,"2.21 (1.96, 2.46)",1.06
107,10.12,"10.57 (8.57, 12.57)",0.64
159,49.06,"3.24 (2.73, 3.75)",0.77
99,11.92,"8.31 (6.68, 9.94)",0.50
200,158.23,"1.26 (1.08, 1.44)",0.29
118,60.57,"1.95 (1.6, 2.3)",0.41
64,20.05,"3.19 (2.41, 3.97)",0.32
50,30.88,"1.62 (1.17, 2.07)",0.13
155,80.82,"1.92 (1.63, 2.21)",0.63
122,49,"2.49 (2.04, 2.94)",0.53
101,27.19,"3.71 (2.98, 4.44)",0.52
98,57.08,"1.72 (1.39, 2.05)",0.24
37,2.14,"17.29 (11.72, 22.86)",0.19
39,2.54,"15.35 (10.53, 20.17)",0.23
129,108.03,"1.19 (0.97, 1.41)",0.13
36,12.29,"2.93 (1.97, 3.89)",0.16
14,7.56,"1.85 (0.89, 2.81)",0.05
15,5.46,"2.75 (1.36, 4.14)",0.06
8,2.32,"3.45 (1.06, 5.84)",0.05
19,5.49,"3.46 (1.91, 5.01)",0.16
50,29.5,"1.69 (1.22, 2.16)",0.13
14,5.98,"2.34 (1.11, 3.57)",0.07
