PMR (95%),PAR
"1.75 (1.71, 1.79)",10.62
"9.39 (9.1, 9.68)",10.19
"4.32 (3.69, 4.95)",0.45
"2.26 (2.2, 2.32)",9.43
"2.84 (2.76, 2.92)",7.78
"2.04 (1.96, 2.12)",4.24
"5.14 (4.77, 5.51)",2.48
"4.57 (4.12, 5.02)",1.33
"22.07 (18.27, 25.87)",0.62
"5.76 (4.78, 6.74)",0.51
"2.68 (2.05, 3.31)",0.21
"1.38 (1.32, 1.44)",2.39
"1.41 (1.35, 1.47)",2.33
"1.61 (1.36, 1.86)",0.19
"2.47 (2.33, 2.61)",2.13
"2.59 (2.43, 2.75)",1.93
"1.8 (1.51, 2.09)",0.19
"7.75 (7.2, 8.3)",1.87
"2.41 (2.25, 2.57)",1.29
"2.77 (2.55, 2.99)",1.23
"6.52 (5.93, 7.11)",1.22
"8.81 (7.99, 9.63)",1.16
"1.57 (1.47, 1.67)",1.14
"1.54 (1.4, 1.68)",0.51
"2.91 (2.52, 3.3)",0.45
"1.25 (1.11, 1.39)",0.21
"1.91 (1.73, 2.09)",0.78
"10.21 (8.84, 11.58)",0.65
"2.4 (2.13, 2.67)",0.58
"8.53 (7.35, 9.71)",0.55
"1.4 (1.26, 1.54)",0.48
"2.02 (1.78, 2.26)",0.48
"3.01 (2.48, 3.54)",0.32
"1.75 (1.44, 2.06)",0.18
"1.6 (1.4, 1.8)",0.42
"1.89 (1.64, 2.14)",0.38
"2.43 (2.02, 2.84)",0.28
"1.74 (1.49, 1.99)",0.24
"17.56 (13.19, 21.93)",0.17
"12.35 (9.47, 15.23)",0.22
"1.18 (1.04, 1.32)",0.15
"2.29 (1.74, 2.84)",0.14
"2.48 (1.75, 3.21)",0.11
"3.18 (2.24, 4.12)",0.10
"5.22 (3.44, 7)",0.11
"2.56 (1.72, 3.4)",0.11
"1.68 (1.29, 2.07)",0.10
"2.18 (1.53, 2.83)",0.10
