ICD10,Obs,Exp,PMR,PMR_95CI,PAR,major
I11,3728,396.97,9.39,"(9.1, 9.68)",10.19,Hypertensive heart disease
I25,5840,2581.39,2.26,"(2.2, 2.32)",9.43,Chronic ischemic heart disease
F03,4638,1633.84,2.84,"(2.76, 2.92)",7.78,Unspecified dementia
E14,2508,1230.8,2.04,"(1.96, 2.12)",4.24,Unspecified diabetes mellitus
I48,3143,2160.47,1.45,"(1.39, 1.51)",2.79,Atrial fibrillation and flutter
J44,2401,1708.71,1.41,"(1.35, 1.47)",2.33,Other chronic obstructive pulmonary disease
G30,1162,448.49,2.59,"(2.43, 2.75)",1.93,Alzheimer's disease
M81,781,100.71,7.75,"(7.2, 8.3)",1.87,Osteoporosis without current pathological fracture
F10,404,88.45,4.57,"(4.12, 5.02)",1.33,Alcohol related disorders
R54,865,358.23,2.41,"(2.25, 2.57)",1.29,Age-related physical debility
G20,637,229.77,2.77,"(2.55, 2.99)",1.23,Parkinson's disease
R26,438,49.7,8.81,"(7.99, 9.63)",1.16,Abnormalities of gait and mobility
I10,4407,4029.63,1.09,"(1.05, 1.13)",1.12,Essential (primary) hypertension
I26,461,241.32,1.91,"(1.73, 2.09)",0.78,Pulmonary embolism
T79,214,20.95,10.21,"(8.84, 11.58)",0.65,"Certain early complications of trauma, NEC"
X45,130,5.890000000000001,22.07,"(18.27, 25.87)",0.62,Accidental poisoning by and explosure to alcohol
Y83,279,116.01,2.4,"(2.13, 2.67)",0.58,"Surg op & oth surg proc cause abn react/compl, w/o misadvnt"
R55,202,23.69,8.53,"(7.35, 9.71)",0.55,Syncope and collapse
I51,455,295.24,1.54,"(1.4, 1.68)",0.51,Complications and ill-defined descriptions of heart disease
T51,132,22.91,5.76,"(4.78, 6.74)",0.51,Toxic effect of alcohol
G93,461,329.75,1.4,"(1.26, 1.54)",0.48,Other disorders of brain
I13,183,42.32,4.32,"(3.69, 4.95)",0.45,Hypertensive heart and chronic kidney disease
I38,221,75.83,2.91,"(2.52, 3.3)",0.45,"Endocarditis, valve unspecified"
