Description (ICD10),Obs,Exp,PMR (95%),PAR
Hypertensive Diseases (I10-I15),4946,2804.78,"1.76 (1.7, 1.82)",11.07
Hypertensive heart disease (I11),2001,184.68,"10.83 (10.36, 11.3)",10.16
Hypertensive heart and chronic kidney disease (I13),100,19.43,"5.15 (4.15, 6.15)",0.5
"Dementia, unspecified (F03)",2939,976.38,"3.01 (2.89, 3.13)",9.47
Chronic ischemic heart disease (I25),2583,1047.75,"2.47 (2.37, 2.57)",8.54
Chronic Lower Respiratory Diseases (J40-J47),1388,890.89,"1.56 (1.48, 1.64)",3.17
Other chronic obstructive pulmonary disease (J44),1271,793.29,"1.6 (1.52, 1.68)",3.04
Emphysema (J43),57,35.19,"1.62 (1.21, 2.03)",0.15
Osteoporosis without current pathological fracture (M81),683,88.81,"7.69 (7.12, 8.26)",3.06
Other Degenerative Diseases Of The Nervous System (G30-G32),841,322.2,"2.61 (2.43, 2.79)",2.69
Alzheimer's disease (G30),773,282.62,"2.74 (2.54, 2.94)",2.53
"Other degenerative diseases of nervous system, NEC (G31)",68,39.19,"1.74 (1.33, 2.15)",0.16
"Diabetes mellitus, unspecified (E14)",1182,564.64,"2.09 (1.97, 2.21)",3.91
Age-related physical debility (R54),570,236.46,"2.41 (2.21, 2.61)",1.61
"Other Forms of Heart Disease (I38, I51, I35)",552,321.1,"1.72 (1.58, 1.86)",1.32
"Endocarditis, valve unspecified (I38)",123,38.63,"3.18 (2.61, 3.75)",0.5
Complications and ill-defined descriptions of heart disease (I51),218,142.77,"1.53 (1.33, 1.73)",0.45
Nonrheumatic aortic valve disorders (I35),211,139.7,"1.51 (1.31, 1.71)",0.39
"Alcohol related disorders, diseases, or exposure (F10, X45, T51, K70)",170,32.46,"5.24 (4.45, 6.03)",1.3
Alcohol related disorders (F10),92,18.59,"4.95 (3.93, 5.97)",0.63
Accidental poisoning by and explosure to alcohol (X45),30,1.35,"22.22 (14.26, 30.18)",0.31
Toxic effect of alcohol (T51),31,8.64,"3.59 (2.34, 4.84)",0.21
Alcoholic liver disease (K70),17,3.88,"4.38 (2.3, 6.46)",0.18
Abnormalities of gait and mobility (R26),250,30.27,"8.26 (7.24, 9.28)",1.24
Pulmonary embolism (I26),286,129.22,"2.21 (1.96, 2.46)",1.06
Parkinson's disease (G20),222,87.53,"2.54 (2.21, 2.87)",0.79
Surgical operations & other surgical procedures as cause of abnormal reaction (Y83),159,49.06,"3.24 (2.73, 3.75)",0.77
Certain Early Complications Of Trauma (T79),107,10.12,"10.57 (8.57, 12.57)",0.64
Overweight and obesity (E66),155,80.82,"1.92 (1.63, 2.21)",0.63
Malignant neoplasm of bronchus and lung (C34),122,49,"2.49 (2.04, 2.94)",0.53
Other disorders of bone (M89),101,27.19,"3.71 (2.98, 4.44)",0.52
"Coagulation Defects, Purpura And Other Hemorrhagic Conditions (D65-D69)",118,60.57,"1.95 (1.6, 2.3)",0.41
Other coagulation defects (D68),64,20.05,"3.19 (2.41, 3.97)",0.32
Purpura and other hemorrhagic conditions (D69),50,30.88,"1.62 (1.17, 2.07)",0.13
Nonrheumatic aortic valve disorders (I35),211,139.7,"1.51 (1.31, 1.71)",0.39
"Complications of procedures, not elsewhere classified (T81)",95,42.75,"2.22 (1.77, 2.67)",0.36
Other And Unspecified Effects Of External Causes (T66-T78),100,62.6,"1.6 (1.29, 1.91)",0.26
Hypothermia (T68),41,4.84,"8.47 (5.88, 11.06)",0.23
Asphyxiation (T71),31,17.66,"1.76 (1.13, 2.39)",0.1
Fibrosis and cirrhosis of liver (K74),91,59.13,"1.54 (1.23, 1.85)",0.26
"Symptoms And Signs Involving Cognition, Perception, Emotional State And Behavior (R40-R46)",98,57.08,"1.72 (1.39, 2.05)",0.24
Dizziness and giddiness (R42),37,2.14,"17.29 (11.72, 22.86)",0.19
Exposure to excessive natural cold (X31),39,2.54,"15.35 (10.53, 20.17)",0.23
"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes (D37-D48)",89,55.37,"1.61 (1.28, 1.94)",0.21
Myelodysplastic syndromes (D46),53,23.4,"2.26 (1.65, 2.87)",0.19
Multiple myeloma and malignant plasma cell neoplasms (C90),36,12.29,"2.93 (1.97, 3.89)",0.16
"Intraoperative And Postprocedural Complications And Disorders Of Respiratory System, Not Elsewhere Classified (J95)",19,5.49,"3.46 (1.91, 5.01)",0.16
"Pain, not elsewhere classified (R52)",50,29.5,"1.69 (1.22, 2.16)",0.13
Other arthritis (M13),33,18.48,"1.79 (1.18, 2.4)",0.11
