Disease Description,ICD10,Obs,Exp,PMR,PMR_95CI,PAR
Chronic ischemic heart disease,I25,3257,1533.64,2.12,"(2.04, 2.2)",10.43
"Atherosclerotic cardiovascular disease, so described",I250,1730,139.14,12.43,"(11.84, 13.02)",9.98
"Chronic ischemic heart disease, unspecified",I259,84,47.1,1.78,"(1.41, 2.15)",0.25
Hypertensive heart disease,I11,1727,212.29,8.14,"(7.75, 8.53)",10.12
Hypertensive heart disease without heart failure,I119,1647,182.04,9.05,"(8.62, 9.48)",10.01
Hypertensive heart disease with heart failure,I110,80,30.19,2.65,"(2.06, 3.24)",0.32
Unspecified dementia,F03,1699,657.46,2.58,"(2.46, 2.7)",5.79
Unspecified diabetes mellitus,E14,1326,666.16,1.99,"(1.89, 2.09)",4.57
Unspecified diabetes mellitus without complications,E149,1165,528.28,2.21,"(2.09, 2.33)",4.45
"Alcohol related disorders, diseases, or exposure","F10, X45, T51, K70",565,110.49,5.11,"(4.69, 5.53)",3.92
Alcohol dependence,F102,145,29,5,"(4.18, 5.82)",1.05
Alcohol abuse,F101,128,25.12,5.1,"(4.22, 5.98)",0.92
"Alcohol use, unspecified",F109,28,6.69,4.19,"(2.64, 5.74)",0.21
Accidental poisoning by and explosure to alcohol,X45,100,4.54,22.03,"(17.72, 26.34)",0.96
Toxic effect of unspecified alcohol,T519,67,3.85,17.4,"(13.23, 21.57)",0.62
Toxic effect of ethanol,T510,34,3.07,11.07,"(7.35, 14.79)",0.33
Alcoholic cirrhosis of liver,K703,36,14.6,2.47,"(1.67, 3.27)",0.2
Parkinson's disease,G20,415,142.24,2.92,"(2.65, 3.19)",1.72
Alzheimer's disease,G30,389,165.87,2.35,"(2.11, 2.59)",1.28
"Alzheimer's disease, unspecified",G309,371,157.7,2.35,"(2.11, 2.59)",1.22
Abnormalities of gait and mobility,R26,188,19.43,9.68,"(8.29, 11.07)",1.06
Immobility,R263,111,12.1,9.17,"(7.46, 10.88)",0.65
Other abnormalities of gait and mobility,R268,73,6.41,11.39,"(8.78, 14)",0.39
Age-related physical debility,R54,295,121.77,2.42,"(2.15, 2.69)",0.92
Other disorders of brain,G93,261,171.52,1.52,"(1.34, 1.7)",0.67
Compression of brain,G935,121,14.26,8.49,"(6.98, 10)",0.81
