Var1,Var2,Obs,Exp,PMR,PMR_95CI,PAR
I11,I25,2149,84.97,25.29,"(24.21, 26.37)",6.39
E14,I25,976,219.18,4.45,"(4.18, 4.72)",2.54
E14,I11,656,58.78,11.16,"(10.3, 12.02)",2.19
F03,I25,950,163.95,5.79,"(5.42, 6.16)",2.15
F03,I10,1039,372.9,2.79,"(2.61, 2.97)",1.83
I25,J44,759,253.17,3,"(2.78, 3.22)",1.7
F03,I11,642,30.47,21.07,"(19.44, 22.7)",1.66
I11,J44,488,43.04,11.34,"(10.34, 12.34)",1.55
E14,I10,900,453.67,1.98,"(1.84, 2.12)",1.49
I25,I48,751,328.76,2.28,"(2.12, 2.44)",1.24
I10,I25,1015,643.72,1.58,"(1.48, 1.68)",1.18
I11,I48,378,34.019999999999996,11.11,"(9.99, 12.23)",1
F03,I48,536,168.15,3.19,"(2.92, 3.46)",0.98
E14,F03,409,91.56,4.47,"(4.04, 4.9)",0.93
F03,J44,363,98.58,3.68,"(3.31, 4.05)",0.76
F17,I11,225,37.68,5.97,"(5.19, 6.75)",0.72
E14,J44,307,123.79,2.48,"(2.21, 2.75)",0.66
I10,J44,544,354.74,1.53,"(1.39, 1.67)",0.63
F03,M81,243,15.08,16.11,"(14.09, 18.13)",0.61
T51,X45,127,5.8,21.9,"(18.1, 25.7)",0.6
E14,I48,328,155.98,2.1,"(1.86, 2.34)",0.55
I25,M81,188,12.88,14.6,"(12.52, 16.68)",0.48
I10,M81,202,37.97,5.32,"(4.59, 6.05)",0.46
T81,Y83,153,32.71,4.68,"(3.94, 5.42)",0.44
I48,J44,355,221.09,1.61,"(1.43, 1.79)",0.43
I11,M81,155,3.8,40.79,"(34.36, 47.22)",0.42
G30,I25,193,45.21,4.27,"(3.66, 4.88)",0.4
F03,R54,173,32.09,5.39,"(4.59, 6.19)",0.36
F03,R26,133,7.81,17.03,"(14.13, 19.93)",0.35
I25,R54,165,27.939999999999998,5.91,"(5.01, 6.81)",0.35
F03,G20,151,37.02,4.08,"(3.43, 4.73)",0.34
G30,I10,215,93.95,2.29,"(1.98, 2.6)",0.33
G30,I11,124,7.949999999999999,15.6,"(12.86, 18.34)",0.33
J44,M81,120,9.06,13.25,"(10.88, 15.62)",0.33
G20,I25,127,26.9,4.72,"(3.9, 5.54)",0.3
E14,E66,95,33.26,2.86,"(2.29, 3.43)",0.28
